Date,Hours,Wind
20120101,1:00,0
20120101,2:00,0.05487912
20120101,3:00,0.110233998
20120101,4:00,0.165116056
20120101,5:00,0.156940134
20120101,6:00,0.168781126
20120101,7:00,0.114744854
20120101,8:00,0.085424302
20120101,9:00,0.153181091
20120101,10:00,0.139272625
20120101,11:00,0.083826706
20120101,12:00,0.14782445
20120101,13:00,0.138708763
20120101,14:00,0.22206559
20120101,15:00,0.241048769
20120101,16:00,0.24584155
20120101,17:00,0.239075273
20120101,18:00,0.25345362
20120101,19:00,0.302039275
20120101,20:00,0.516022917
20120101,21:00,0.735457175
20120101,22:00,0.618926787
20120101,23:00,0.815430868
20120102,0:00,0.760454834
20120102,1:00,0.439244421
20120102,2:00,0.205807719
20120102,3:00,0.190019729
20120102,4:00,0.803495886
20120102,5:00,0.755004215
20120102,6:00,0.376750294
20120102,7:00,0.567803766
20120102,8:00,0.274222341
20120102,9:00,0.154684708
20120102,10:00,0.095291795
20120102,11:00,0.087491775
20120102,12:00,0.023952164
20120102,13:00,0.001952942
20120102,14:00,0.05948689
20120102,15:00,0.023867
20120102,16:00,0
20120102,17:00,0
20120102,18:00,0
20120102,19:00,0
20120102,20:00,0
20120102,21:00,0.030524623
20120102,22:00,0.057137486
20120102,23:00,0.033643454
20120103,0:00,0.010610492
20120103,1:00,0.191617324
20120103,2:00,0.392726241
20120103,3:00,0.27948501
20120103,4:00,0.129217178
20120103,5:00,0.117658111
20120103,6:00,0.187388399
20120103,7:00,0.209096886
20120103,8:00,0.190395639
20120103,9:00,0.150831684
20120103,10:00,0.132882246
20120103,11:00,0.192181183
20120103,12:00,0.240390935
20120103,13:00,0.341979128
20120103,14:00,0.54534347
20120103,15:00,0.759890956
20120103,16:00,0.828305606
20120103,17:00,0.714500502
20120103,18:00,0.7531247
20120103,19:00,0.696926967
20120103,20:00,0.723146305
20120103,21:00,0.595996603
20120103,22:00,0.409078084
20120103,23:00,0.278921149
20120104,0:00,0.282398265
20120104,1:00,0.318861001
20120104,2:00,0.270087394
20120104,3:00,0.245653601
20120104,4:00,0.229583677
20120104,5:00,0.304012772
20120104,6:00,0.422610647
20120104,7:00,0.461234838
20120104,8:00,0.404097346
20120104,9:00,0.316323649
20120104,10:00,0.298092277
20120104,11:00,0.076496567
20120104,12:00,0.075838735
20120104,13:00,0.031951884
20120104,14:00,0.007142184
20120104,15:00,0
20120104,16:00,0
20120104,17:00,0.009288953
20120104,18:00,0.01389672
20120104,19:00,0
20120104,20:00,0
20120104,21:00,0
20120104,22:00,0
20120104,23:00,0.019450124
20120105,0:00,0.058265199
20120105,1:00,0.073019454
20120105,2:00,0.094821916
20120105,3:00,0.188140208
20120105,4:00,0.278075363
20120105,5:00,0.219246307
20120105,6:00,0.211822194
20120105,7:00,0.225260778
20120105,8:00,0.201296864
20120105,9:00,0.18062212
20120105,10:00,0.13034489
20120105,11:00,0.082511042
20120105,12:00,0.008645802
20120105,13:00,0.030354288
20120105,14:00,0.015694012
20120105,15:00,0.014754253
20120105,16:00,0.005826518
20120105,17:00,0.012780753
20120105,18:00,0.011840991
20120105,19:00,0.016351847
20120105,20:00,0.043698902
20120105,21:00,0.033361527
20120105,22:00,0.028286815
20120105,23:00,0.077342353
20120106,0:00,0.083356827
20120106,1:00,0.068320645
20120106,2:00,0.009394678
20120106,3:00,0
20120106,4:00,0.216051119
20120106,5:00,0.357391211
20120106,6:00,0.491777076
20120106,7:00,0.337468285
20120106,8:00,0.188892018
20120106,9:00,0.2747862
20120106,10:00,0.415280507
20120106,11:00,0.289916357
20120106,12:00,0.252325904
20120106,13:00,0.276101866
20120106,14:00,0.203176389
20120106,15:00,0.1397425
20120106,16:00,0.161450989
20120106,17:00,0.233436701
20120106,18:00,0.307771814
20120106,19:00,0.33493092
20120106,20:00,0.430692596
20120106,21:00,0.234564419
20120106,22:00,0.178366694
20120106,23:00,0.099614696
20120107,0:00,0.061742316
20120107,1:00,0.113711114
20120107,2:00,0.08636406
20120107,3:00,0.032327789
20120107,4:00,0.010989335
20120107,5:00,0.009852811
20120107,6:00,0
20120107,7:00,0.010880675
20120107,8:00,0.065783291
20120107,9:00,0.028380791
20120107,10:00,0.018040481
20120107,11:00,0.009867492
20120107,12:00,0.063245936
20120107,13:00,0.077154402
20120107,14:00,0.113147258
20120107,15:00,0.224039089
20120107,16:00,0.252701808
20120107,17:00,0.216145093
20120107,18:00,0.264824735
20120107,19:00,0.266516299
20120107,20:00,0.285969359
20120107,21:00,0.324405595
20120107,22:00,0.598064087
20120107,23:00,0.676158244
20120108,0:00,0.561695321
20120108,1:00,0.719857131
20120108,2:00,0.871910501
20120108,3:00,0.935156436
20120108,4:00,0.96673242
20120108,5:00,0.984587884
20120108,6:00,0.973874607
20120108,7:00,0.96475893
20120108,8:00,0.943332364
20120108,9:00,0.717319782
20120108,10:00,0.676064276
20120108,11:00,0.804623591
20120108,12:00,0.687341405
20120108,13:00,0.71280894
20120108,14:00,0.830561007
20120108,15:00,0.896814187
20120108,16:00,0.912414227
20120108,17:00,0.817780265
20120108,18:00,0.86514422
20120108,19:00,0.692604049
20120108,20:00,0.652664206
20120108,21:00,0.723522207
20120108,22:00,0.756225892
20120108,23:00,0.853961087
20120109,0:00,0.504557831
20120109,1:00,0.725589689
20120109,2:00,0.783291024
20120109,3:00,0.746828297
20120109,4:00,0.776712686
20120109,5:00,0.675594392
20120109,6:00,0.823888708
20120109,7:00,0.85189361
20120109,8:00,0.752466852
20120109,9:00,0.671741361
20120109,10:00,0.723146306
20120109,11:00,0.818062191
20120109,12:00,0.617329181
20120109,13:00,0.611126764
20120109,14:00,0.467343283
20120109,15:00,0.549102507
20120109,16:00,0.636970195
20120109,17:00,0.627384625
20120109,18:00,0.6562353
20120109,19:00,0.537637439
20120109,20:00,0.468564973
20120109,21:00,0.405694941
20120109,22:00,0.612724345
20120109,23:00,0.58321585
20120110,0:00,0.514989184
