Date,Close
1/3/2012,58.747143
1/4/2012,59.062859
1/5/2012,59.718571
1/6/2012,60.342857
1/9/2012,60.247143
1/10/2012,60.462856
1/11/2012,60.364285
1/12/2012,60.19857
1/13/2012,59.972858
1/17/2012,60.671429
1/18/2012,61.30143
1/19/2012,61.107143
1/20/2012,60.042858
1/23/2012,61.058571
1/24/2012,60.058571
1/25/2012,63.808571
1/26/2012,63.51857
1/27/2012,63.897144
1/30/2012,64.715714
1/31/2012,65.211426
2/1/2012,65.169998
2/2/2012,65.017143
2/3/2012,65.668571
2/6/2012,66.281425
2/7/2012,66.975716
2/8/2012,68.097145
2/9/2012,70.452858
2/10/2012,70.488571
2/13/2012,71.800003
2/14/2012,72.779999
2/15/2012,71.095711
2/16/2012,71.744286
2/17/2012,71.73143
2/21/2012,73.550003
2/22/2012,73.291428
2/23/2012,73.769997
2/24/2012,74.629997
2/27/2012,75.108574
2/28/2012,76.487144
2/29/2012,77.491432
3/1/2012,77.781425
3/2/2012,77.882858
3/5/2012,76.165718
3/6/2012,75.751427
3/7/2012,75.812859
3/8/2012,77.427139
3/9/2012,77.881432
3/12/2012,78.85714
3/13/2012,81.157143
3/14/2012,84.225716
3/15/2012,83.651428
3/16/2012,83.652855
3/19/2012,85.871429
3/20/2012,86.565712
3/21/2012,86.071426
3/22/2012,85.620003
3/23/2012,85.150002
3/26/2012,86.711426
3/27/2012,87.78286
3/28/2012,88.23143
3/29/2012,87.122856
3/30/2012,85.650002
4/2/2012,88.375717
4/3/2012,89.902855
4/4/2012,89.187141
4/5/2012,90.525711
4/9/2012,90.889999
4/10/2012,89.777145
4/11/2012,89.457146
4/12/2012,88.96714
4/13/2012,86.461426
4/16/2012,82.875717
4/17/2012,87.099998
4/18/2012,86.905716
4/19/2012,83.919998
4/20/2012,81.854286
4/23/2012,81.671425
4/24/2012,80.040001
4/25/2012,87.14286
4/26/2012,86.814285
4/27/2012,86.14286
4/30/2012,83.425713
5/1/2012,83.16143
5/2/2012,83.711426
5/3/2012,83.117142
5/4/2012,80.75
5/7/2012,81.354286
5/8/2012,81.168571
5/9/2012,81.311432
5/10/2012,81.502853
5/11/2012,80.958572
5/14/2012,79.745712
5/15/2012,79.024284
5/16/2012,78.011429
5/17/2012,75.73143
5/18/2012,75.76857
5/21/2012,80.182854
5/22/2012,79.567146
5/23/2012,81.508568
5/24/2012,80.760002
5/25/2012,80.327141
5/29/2012,81.752853
5/30/2012,82.738571
5/31/2012,82.53286
6/1/2012,80.141426
6/4/2012,80.612854
6/5/2012,80.404289
6/6/2012,81.637146
6/7/2012,81.674286
6/8/2012,82.902855
6/11/2012,81.595711
6/12/2012,82.308571
6/13/2012,81.737144
6/14/2012,81.647141
6/15/2012,82.01857
6/18/2012,83.682854
6/19/2012,83.915718
6/20/2012,83.677139
6/21/2012,82.524284
6/22/2012,83.157143
6/25/2012,81.538574
6/26/2012,81.718575
6/27/2012,82.071426
6/28/2012,81.292854
6/29/2012,83.428574
7/2/2012,84.645714
7/3/2012,85.629997
7/5/2012,87.134285
7/6/2012,86.554283
7/9/2012,87.69857
7/10/2012,86.887146
7/11/2012,86.347145
7/12/2012,85.557144
7/13/2012,86.424286
7/16/2012,86.701431
7/17/2012,86.705711
7/18/2012,86.608574
7/19/2012,87.760002
7/20/2012,86.328575
7/23/2012,86.261429
7/24/2012,85.845711
7/25/2012,82.138573
7/26/2012,82.125717
7/27/2012,83.594284
7/30/2012,85.004288
