Time,Internet
6/18/2005 0:00,17464003864
6/18/2005 1:00,18280991947
6/18/2005 2:00,20129960363
6/18/2005 3:00,24297933220
6/18/2005 4:00,28988486108
6/18/2005 5:00,32111458880
6/18/2005 6:00,33188647834
6/18/2005 7:00,33948498595
6/18/2005 8:00,34901406545
6/18/2005 9:00,34200387221
6/18/2005 10:00,33252484732
6/18/2005 11:00,34298425351
6/18/2005 12:00,32780824184
6/18/2005 13:00,32701250725
6/18/2005 14:00,32904910111
6/18/2005 15:00,33233555866
6/18/2005 16:00,32345769427
6/18/2005 17:00,28613426442
6/18/2005 18:00,26075574488
6/18/2005 19:00,23501583388
6/18/2005 20:00,20933264119
6/18/2005 21:00,18261475109
6/18/2005 22:00,17509082781
6/18/2005 23:00,17441156446
6/19/2005 0:00,16939250253
6/19/2005 1:00,17636476728
6/19/2005 2:00,20066593160
6/19/2005 3:00,24111654735
6/19/2005 4:00,29049545420
6/19/2005 5:00,32633749081
6/19/2005 6:00,33161406521
6/19/2005 7:00,34189107029
6/19/2005 8:00,33809448266
6/19/2005 9:00,34698154299
6/19/2005 10:00,35193072263
6/19/2005 11:00,36253566359
6/19/2005 12:00,36403966133
6/19/2005 13:00,38217780559
6/19/2005 14:00,39458073129
6/19/2005 15:00,38298035420
6/19/2005 16:00,34267973834
6/19/2005 17:00,28731422198
6/19/2005 18:00,24227249317
6/19/2005 19:00,20166270825
6/19/2005 20:00,17930418286
6/19/2005 21:00,17323729246
6/19/2005 22:00,16997353864
6/19/2005 23:00,18769236944
6/20/2005 0:00,25628529195
6/20/2005 1:00,40272090905
6/20/2005 2:00,65385393850
6/20/2005 3:00,81177675814
6/20/2005 4:00,86953500358
6/20/2005 5:00,89999003212
6/20/2005 6:00,89353133704
6/20/2005 7:00,91720130739
6/20/2005 8:00,92693533335
6/20/2005 9:00,88028637946
6/20/2005 10:00,77916940370
6/20/2005 11:00,62930249732
6/20/2005 12:00,48573944939
6/20/2005 13:00,43681881772
6/20/2005 14:00,45079040820
6/20/2005 15:00,42561941101
6/20/2005 16:00,35301165456
6/20/2005 17:00,29048949293
6/20/2005 18:00,25852728033
6/20/2005 19:00,20240655910
6/20/2005 20:00,19124454023
6/20/2005 21:00,17310410327
6/20/2005 22:00,17763275240
6/20/2005 23:00,19639784058
6/21/2005 0:00,29136134575
6/21/2005 1:00,53482487731
6/21/2005 2:00,75792574816
6/21/2005 3:00,84783523066
6/21/2005 4:00,89979732872
6/21/2005 5:00,90410764791
6/21/2005 6:00,90647459122
6/21/2005 7:00,94351817197
6/21/2005 8:00,93440478269
6/21/2005 9:00,86441097495
6/21/2005 10:00,71610751830
6/21/2005 11:00,55475825052
6/21/2005 12:00,45641548343
6/21/2005 13:00,42998363604
6/21/2005 14:00,41066697564
6/21/2005 15:00,39156302500
6/21/2005 16:00,35711969028
6/21/2005 17:00,26518128134
6/21/2005 18:00,22129294260
6/21/2005 19:00,19814404111
6/21/2005 20:00,17621019256
6/21/2005 21:00,16789547703
6/21/2005 22:00,17412988896
6/21/2005 23:00,22107956308
6/22/2005 0:00,35413766557
6/22/2005 1:00,54202014860
6/22/2005 2:00,73644478378
6/22/2005 3:00,86914692017
6/22/2005 4:00,95130616325
6/22/2005 5:00,94752210602
6/22/2005 6:00,96749758842
6/22/2005 7:00,94146117788
6/22/2005 8:00,87724228491
6/22/2005 9:00,78084068779
6/22/2005 10:00,64873233107
6/22/2005 11:00,52512036299
6/22/2005 12:00,46710108518
6/22/2005 13:00,44723129914
6/22/2005 14:00,43482618734
6/22/2005 15:00,41713417601
6/22/2005 16:00,31604482629
6/22/2005 17:00,26801566292
6/22/2005 18:00,21981436497
6/22/2005 19:00,20051463097
6/22/2005 20:00,18936099883
6/22/2005 21:00,18913543746
6/22/2005 22:00,20086557461
6/22/2005 23:00,27699202389
6/23/2005 0:00,45389140948
6/23/2005 1:00,69957720593
6/23/2005 2:00,79888649565
6/23/2005 3:00,86677746703
6/23/2005 4:00,87027215661
6/23/2005 5:00,84881166263
6/23/2005 6:00,87910755706
6/23/2005 7:00,87255108244
6/23/2005 8:00,84070445882
6/23/2005 9:00,72188104075
6/23/2005 10:00,56562363509
6/23/2005 11:00,44581805266
6/23/2005 12:00,43993848467
6/23/2005 13:00,41782121431
6/23/2005 14:00,38593471070
6/23/2005 15:00,33344338129
6/23/2005 16:00,29331874861
6/23/2005 17:00,24279898678
6/23/2005 18:00,20524184580
6/23/2005 19:00,19410638608
6/23/2005 20:00,19077601022
6/23/2005 21:00,19701841930
6/23/2005 22:00,22623183249
6/23/2005 23:00,33552904831
6/24/2005 0:00,55456589484
6/24/2005 1:00,73746260242
6/24/2005 2:00,80605959026
6/24/2005 3:00,84981800996
6/24/2005 4:00,82944445590
6/24/2005 5:00,82451913391
6/24/2005 6:00,82285249864
6/24/2005 7:00,76092595741
6/24/2005 8:00,66585802405
6/24/2005 9:00,55579238848
6/24/2005 10:00,43930782316
6/24/2005 11:00,40643599482
6/24/2005 12:00,37923558744
6/24/2005 13:00,37171815459
6/24/2005 14:00,32279222458
6/24/2005 15:00,27907221791
6/24/2005 16:00,24107041314
6/24/2005 17:00,20840673538
6/24/2005 18:00,19632573039
6/24/2005 19:00,18085537645
6/24/2005 20:00,17224930160
6/24/2005 21:00,16224642386
6/24/2005 22:00,18080887606
6/24/2005 23:00,19115317113
6/25/2005 0:00,22772737360
6/25/2005 1:00,27603867782
6/25/2005 2:00,31260092052
6/25/2005 3:00,33513163038
6/25/2005 4:00,35307910200
6/25/2005 5:00,35306567451
6/25/2005 6:00,34534541954
6/25/2005 7:00,33251462515
6/25/2005 8:00,34320176507
6/25/2005 9:00,32752584439
6/25/2005 10:00,31816562518
6/25/2005 11:00,34328429859
6/25/2005 12:00,32865579762
6/25/2005 13:00,31448682807
6/25/2005 14:00,29371343347
6/25/2005 15:00,26098256769
6/25/2005 16:00,22684355456
6/25/2005 17:00,20643567540
6/25/2005 18:00,19666781391
6/25/2005 19:00,18160358306
6/25/2005 20:00,17508706619
6/25/2005 21:00,17718034385
6/25/2005 22:00,17899663966
6/25/2005 23:00,19391359768
6/26/2005 0:00,23036453257
6/26/2005 1:00,28863073469
6/26/2005 2:00,32040997197
6/26/2005 3:00,34817157993
6/26/2005 4:00,33390220982
6/26/2005 5:00,34061008560
6/26/2005 6:00,36304257087
6/26/2005 7:00,35827042490
6/26/2005 8:00,34750059478
6/26/2005 9:00,34076320591
6/26/2005 10:00,35134664505
6/26/2005 11:00,35590569103
6/26/2005 12:00,37282051881
6/26/2005 13:00,33453710572
6/26/2005 14:00,29937238932
6/26/2005 15:00,24919876687
6/26/2005 16:00,21130619742
6/26/2005 17:00,18805880633
6/26/2005 18:00,17230086580
6/26/2005 19:00,16513087953
6/26/2005 20:00,16389442102
6/26/2005 21:00,24202012119
6/26/2005 22:00,36449180634
6/26/2005 23:00,60125675774
6/27/2005 0:00,79245814072
6/27/2005 1:00,86819147689
6/27/2005 2:00,92814438632
6/27/2005 3:00,89801318252
6/27/2005 4:00,90664060602
6/27/2005 5:00,93486004831
6/27/2005 6:00,92097889201
6/27/2005 7:00,81970562386
6/27/2005 8:00,66124825683
6/27/2005 9:00,51079672561
6/27/2005 10:00,45976815164
6/27/2005 11:00,43371969975
6/27/2005 12:00,40956068380
6/27/2005 13:00,35726583722
6/27/2005 14:00,30992587167
6/27/2005 15:00,27377954868
6/27/2005 16:00,24519862448
6/27/2005 17:00,21631201121
6/27/2005 18:00,21550451726
6/27/2005 19:00,18531126626
6/27/2005 20:00,19764676464
6/27/2005 21:00,28333709789
6/27/2005 22:00,47114378417
6/27/2005 23:00,70639933712
6/28/2005 0:00,85145696709
6/28/2005 1:00,87394476199
6/28/2005 2:00,91152740687
6/28/2005 3:00,90673456130
6/28/2005 4:00,91889331011
6/28/2005 5:00,92310511811
6/28/2005 6:00,89229669955
6/28/2005 7:00,77415208273
6/28/2005 8:00,62077613482
6/28/2005 9:00,49491253091
6/28/2005 10:00,45890323997
6/28/2005 11:00,43486750561
6/28/2005 12:00,40288682989
6/28/2005 13:00,34315317128
6/28/2005 14:00,30292827588
6/28/2005 15:00,25221238038
6/28/2005 16:00,22414064318
6/28/2005 17:00,20593062894
6/28/2005 18:00,20455793926
6/28/2005 19:00,21481920392
6/28/2005 20:00,24130494773
6/28/2005 21:00,34315452754
6/28/2005 22:00,55679381961
6/28/2005 23:00,77590222158
6/29/2005 0:00,85134163794
6/29/2005 1:00,86776950459
6/29/2005 2:00,87802369654
6/29/2005 3:00,86253412704
6/29/2005 4:00,90199610258
6/29/2005 5:00,88382922934
6/29/2005 6:00,79962014895
6/29/2005 7:00,65558266329
6/29/2005 8:00,51084928967
6/29/2005 9:00,44927478195
6/29/2005 10:00,44404995659
6/29/2005 11:00,42191591661
6/29/2005 12:00,38181375398
6/29/2005 13:00,32220154016
6/29/2005 14:00,26529756951
6/29/2005 15:00,24210973068
6/29/2005 16:00,21312279835
6/29/2005 17:00,19819302609
6/29/2005 18:00,18323092827
6/29/2005 19:00,19497160722
6/29/2005 20:00,26417114909
6/29/2005 21:00,42260870756
6/29/2005 22:00,63307902599
6/29/2005 23:00,79940064327
6/30/2005 0:00,87597102239
6/30/2005 1:00,90684395193
6/30/2005 2:00,88802196088
6/30/2005 3:00,88041084792
6/30/2005 4:00,87985675741
6/30/2005 5:00,85442532863
6/30/2005 6:00,78624265713
6/30/2005 7:00,65603051081
6/30/2005 8:00,51755363851
6/30/2005 9:00,46574468667
6/30/2005 10:00,43216079965
6/30/2005 11:00,40865450755
6/30/2005 12:00,36097850573
6/30/2005 13:00,31578670883
6/30/2005 14:00,26379966003
6/30/2005 15:00,22722343469
6/30/2005 16:00,20192602084
6/30/2005 17:00,19262554209
6/30/2005 18:00,18984156062
6/30/2005 19:00,22737110703
6/30/2005 20:00,29845862355
6/30/2005 21:00,51384458770
6/30/2005 22:00,73517736532
6/30/2005 23:00,84782422467
7/1/2005 0:00,89036232144
7/1/2005 1:00,92507049854
7/1/2005 2:00,91109142089
7/1/2005 3:00,93342649183
7/1/2005 4:00,86995497435
7/1/2005 5:00,82144586631
7/1/2005 6:00,68223520640
7/1/2005 7:00,54738964241
