Date,Hour,Power
20120831,20:00,0
20120831,21:00,0.00775641
20120831,22:00,0.149807692
20120831,23:00,0.664230769
20120901,0:00,0.781217949
20120901,1:00,0.831987179
20120901,2:00,0.851923077
20120901,3:00,0.79224359
20120901,4:00,0.670641026
20120901,5:00,0.486410256
20120901,6:00,0.246025641
20120901,7:00,0.050384615
20120901,8:00,0.00724359
20120901,9:00,0
20120901,10:00,0
20120901,11:00,0
20120901,12:00,0
20120901,13:00,0
20120901,14:00,0
20120901,15:00,0
20120901,16:00,0
20120901,17:00,0
20120901,18:00,0
20120901,19:00,0
20120901,20:00,0
20120901,21:00,0.012564103
20120901,22:00,0.194551282
20120901,23:00,0.642179487
20120902,0:00,0.7425
20120902,1:00,0.827371795
20120902,2:00,0.820448718
20120902,3:00,0.759423077
20120902,4:00,0.644166667
20120902,5:00,0.466153846
20120902,6:00,0.239230769
20120902,7:00,0.056923077
20120902,8:00,0.009487179
20120902,9:00,0
20120902,10:00,0
20120902,11:00,0
20120902,12:00,0
20120902,13:00,0
20120902,14:00,0
20120902,15:00,0
20120902,16:00,0
20120902,17:00,0
20120902,18:00,0
20120902,19:00,0
20120902,20:00,0
20120902,21:00,0.013653846
20120902,22:00,0.206923077
20120902,23:00,0.646217949
20120903,0:00,0.760641026
20120903,1:00,0.803846154
20120903,2:00,0.795961538
20120903,3:00,0.740512821
20120903,4:00,0.628782051
20120903,5:00,0.528397436
20120903,6:00,0.28224359
20120903,7:00,0.050641026
20120903,8:00,0.007371795
20120903,9:00,0
20120903,10:00,0
20120903,11:00,0
20120903,12:00,0
20120903,13:00,0
20120903,14:00,0
20120903,15:00,0
20120903,16:00,0
20120903,17:00,0
20120903,18:00,0
20120903,19:00,0
20120903,20:00,0
20120903,21:00,0.005641026
20120903,22:00,0.085641026
20120903,23:00,0.551923077
20120904,0:00,0.753653846
20120904,1:00,0.801282051
20120904,2:00,0.803525641
20120904,3:00,0.741538462
20120904,4:00,0.626794872
20120904,5:00,0.457051282
20120904,6:00,0.232051282
20120904,7:00,0.050320513
20120904,8:00,0.008846154
20120904,9:00,0
20120904,10:00,0
20120904,11:00,0
20120904,12:00,0
20120904,13:00,0
20120904,14:00,0
20120904,15:00,0
20120904,16:00,0
20120904,17:00,0
20120904,18:00,0
20120904,19:00,0
20120904,20:00,0
20120904,21:00,0.013846154
20120904,22:00,0.236346154
20120904,23:00,0.668012821
20120905,0:00,0.795961538
20120905,1:00,0.845897436
20120905,2:00,0.825641026
20120905,3:00,0.754102564
20120905,4:00,0.630769231
20120905,5:00,0.396346154
20120905,6:00,0.076089744
20120905,7:00,0.018205128
20120905,8:00,0.001538462
20120905,9:00,0
20120905,10:00,0
20120905,11:00,0
20120905,12:00,0
20120905,13:00,0
20120905,14:00,0
20120905,15:00,0
20120905,16:00,0
20120905,17:00,0
20120905,18:00,0
20120905,19:00,0
20120905,20:00,0
20120905,21:00,0.015512821
20120905,22:00,0.246410256
20120905,23:00,0.659038462
20120906,0:00,0.721474359
20120906,1:00,0.832948718
20120906,2:00,0.859423077
20120906,3:00,0.658076923
20120906,4:00,0.611858974
20120906,5:00,0.360641026
20120906,6:00,0.2
20120906,7:00,0.05474359
20120906,8:00,0.009038462
20120906,9:00,0
20120906,10:00,0
20120906,11:00,0
20120906,12:00,0
20120906,13:00,0
20120906,14:00,0
20120906,15:00,0
20120906,16:00,0
20120906,17:00,0
20120906,18:00,0
20120906,19:00,0
20120906,20:00,0
20120906,21:00,0.002371795
20120906,22:00,0.012692308
20120906,23:00,0.071730769
20120907,0:00,0.247371795
20120907,1:00,0.488910256
20120907,2:00,0.658717949
20120907,3:00,0.485705128
20120907,4:00,0.428846154
20120907,5:00,0.320320513
20120907,6:00,0.149871795
20120907,7:00,0.058076923
20120907,8:00,0.01
20120907,9:00,0
20120907,10:00,0
20120907,11:00,0
20120907,12:00,0
20120907,13:00,0
20120907,14:00,0
20120907,15:00,0
20120907,16:00,0
20120907,17:00,0
